,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
301,301,301,2,12,C,1000,331.97505757543945,331.97505757543945,225.4401181456794,fit
302,302,302,2,12,C,1778.2794100389228,540.8870805391089,540.8870805391089,454.0944570104537,fit
303,303,303,2,12,C,3162.2776601683795,855.4012434,855.4012434,935.3929909830804,fit
304,304,304,2,12,C,5623.413251903491,1399.4594636161628,1399.4594636161628,2192.8243806129426,fit
305,305,305,2,12,C,10000,2210.3588530957945,2210.3588530957945,3643.9993133590574,fit
306,306,306,2,12,C,31622.776601683792,4742.916534531299,4742.916534531299,7248.954298749602,fit
307,307,307,2,12,C,100000,9134.487664735503,9134.487664735503,7249.954298749602,fit
39,39,39,3,0.8,D,0.001,0.001,0.001,0.001,fit
39,39,39,3,0.8,D,1,1.197704065135913,1.197704065135913,0.030525659,fit
40,40,40,3,0.8,D,3.1622776601683795,3.0261842291340977,3.0261842291340977,0.084983098,fit
41,41,41,3,0.8,D,10,10.806380777884677,10.806380777884677,0.2219900156116148,fit
42,42,42,3,0.8,D,31.6227766,20.13201519045784,20.13201519045784,1.2311060144290409,fit
43,43,43,3,0.8,D,100,64.93760557,64.93760557,23.271917201335643,fit
44,44,44,3,0.8,D,316.227766,185.8286098368843,185.8286098368843,70.62011822157372,fit
45,45,45,3,0.8,D,1000,469.4014497082104,469.4014497082104,219.1338753321573,fit
46,46,46,3,0.8,D,1778.2794100389228,819.8513487042701,819.8513487042701,379.8346285624099,fit
47,47,47,3,0.8,D,3162.2776601683795,1335.5482111135375,1335.5482111135375,610.0187719859516,fit
48,48,48,3,0.8,D,5623.413251903491,2154.784237034168,2154.784237034168,1099.138612680573,fit
49,49,49,3,0.8,D,10000,3304.006379646132,3304.006379646132,2068.623760171769,fit
50,50,50,3,0.8,D,31622.776601683792,9830.382535404564,9830.382535404564,5134.282644010952,fit
51,51,51,3,0.8,D,100000,41474.92576,41474.92576,15315.572085249663,fit
117,117,117,3,2.3,D,0.001,0.001,0.001,0.001,fit
117,117,117,3,2.3,D,1,0.8777658598922167,0.8777658598922167,0.014868316,fit
118,118,118,3,2.3,D,3.1622776601683795,2.412165808693482,2.412165808693482,0.075896679,fit
119,119,119,3,2.3,D,10,6.898898548877755,6.898898548877755,0.5247035456396739,fit
120,120,120,3,2.3,D,31.6227766,15.160497087100053,15.160497087100053,5.500530253536601,fit
121,121,121,3,2.3,D,100,29.54276955309166,29.54276955309166,12.329978472454687,fit
122,122,122,3,2.3,D,316.227766,65.66130868565028,65.66130868565028,36.06519569471305,fit
123,123,123,3,2.3,D,1000,165.15550401172166,165.15550401172166,108.19781061244711,fit
124,124,124,3,2.3,D,1778.2794100389228,290.3909922341287,290.3909922341287,204.81117226789044,fit
125,125,125,3,2.3,D,3162.2776601683795,517.1437115986698,517.1437115986698,345.3544071095818,fit
126,126,126,3,2.3,D,5623.413251903491,879.0632745491428,879.0632745491428,559.2733055983558,fit
127,127,127,3,2.3,D,10000,1519.138436905955,1519.138436905955,1183.5090765117484,fit
128,128,128,3,2.3,D,31622.776601683792,4187.794244416936,4187.794244416936,4107.431822499849,fit
129,129,129,3,2.3,D,100000,10868.416205673047,10868.416205673047,8912.492872880883,fit
195,195,195,3,4.1,D,0.001,0.001,0.001,0.001,fit
