case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
23,5,8.00000000e-01,1.00000000e+02,1.43117455e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,3.06187031e-04,6.43117860e-310,2.34388261e+03,6.00786143e-01,0.00000000e+00,1.08141506e+03,1.10938529e+03,2.39592474e-02,2.33551781e-02,0.00000000e+00,1.08770888e+00,9.80460882e-04
23,5,8.00000000e-01,1.00000000e+02,1.71740946e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,7.74161866e-05,6.43117860e-310,5.92626190e+02,1.51902489e-01,0.00000000e+00,2.73424481e+02,2.80496461e+02,6.05784499e-03,5.90511238e-03,0.00000000e+00,2.75015807e-01,9.80460882e-04
23,5,8.00000000e-01,2.15443469e+02,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,2.63066469e-03,6.43117860e-310,4.94475417e+03,1.21808360e+00,0.00000000e+00,2.19255048e+03,2.30623372e+03,2.56431762e-02,2.43791242e-02,0.00000000e+00,1.16415636e+00,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,7.58253966e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,2.32155331e-03,6.43117860e-310,4.36372998e+03,1.07495494e+00,0.00000000e+00,1.93491890e+03,2.03524399e+03,2.26300222e-02,2.15145004e-02,0.00000000e+00,1.02736432e+00,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,1.51650793e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,1.59557841e-03,6.43117860e-310,2.99914429e+03,7.38804875e-01,0.00000000e+00,1.32984877e+03,1.39880113e+03,1.55533689e-02,1.47866828e-02,0.00000000e+00,7.06096359e-01,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,2.27476190e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,8.54051325e-04,6.43117860e-310,1.60532578e+03,3.95453635e-01,0.00000000e+00,7.11816543e+02,7.48724066e+02,8.32511596e-03,7.91473859e-03,0.00000000e+00,3.77946033e-01,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,3.03301587e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,3.56021412e-04,6.43117860e-310,6.69199068e+02,1.64849532e-01,0.00000000e+00,2.96729158e+02,3.12114496e+02,3.47042320e-03,3.29935254e-03,0.00000000e+00,1.57551281e-01,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,3.79126983e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,1.15583133e-04,6.43117860e-310,2.17256947e+02,5.35187627e-02,0.00000000e+00,9.63337729e+01,1.01328657e+02,1.12668052e-03,1.07114205e-03,0.00000000e+00,5.11493694e-02,5.04786811e-04
23,5,8.00000000e-01,2.15443469e+02,4.54952380e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.51650757e+02,1.51650757e+02,7.64070368e+00,1.04425534e-01,2.92239823e-05,6.43117860e-310,5.49311391e+01,1.35316575e-02,0.00000000e+00,2.43569835e+01,2.56198874e+01,2.84869344e-04,2.70827026e-04,0.00000000e+00,1.29325813e-02,5.04786811e-04
23,5,8.00000000e-01,4.64158883e+02,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,1.24877342e-03,6.43117860e-310,1.00304523e+03,2.48317020e-01,0.00000000e+00,4.46970636e+02,4.68670738e+02,3.49933034e-03,3.33730652e-03,0.00000000e+00,1.58863616e-01,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,1.59733653e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,1.10203869e-03,6.43117860e-310,8.85184324e+02,2.19139004e-01,0.00000000e+00,3.94450208e+02,4.13600481e+02,3.08814823e-03,2.94516271e-03,0.00000000e+00,1.40196651e-01,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,3.19467306e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,7.57419410e-04,6.43117860e-310,6.08377723e+02,1.50611895e-01,0.00000000e+00,2.71101411e+02,2.84263189e+02,2.12245127e-03,2.02417884e-03,0.00000000e+00,9.63556593e-02,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,4.79200958e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,4.05417371e-04,6.43117860e-310,3.25641110e+02,8.06167332e-02,0.00000000e+00,1.45110120e+02,1.52155111e+02,1.13606623e-03,1.08346479e-03,0.00000000e+00,5.15754648e-02,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,6.38934611e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,1.69003145e-04,6.43117860e-310,1.35747443e+02,3.36060622e-02,0.00000000e+00,6.04909120e+01,6.34277022e+01,4.73582976e-04,4.51655430e-04,0.00000000e+00,2.14998575e-02,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,7.98668264e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,5.48672748e-05,6.43117860e-310,4.40707318e+01,1.09102884e-02,0.00000000e+00,1.96385192e+01,2.05919551e+01,1.53749845e-04,1.46631015e-04,0.00000000e+00,6.97998013e-03,3.38966363e-04
23,5,8.00000000e-01,4.64158883e+02,9.58401917e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.19467316e+02,3.19467316e+02,1.78803368e+01,4.46235757e-02,1.38726196e-05,6.43117860e-310,1.11428260e+01,2.75855291e-03,0.00000000e+00,4.96539525e+00,5.20646160e+00,3.88740486e-05,3.70741265e-05,0.00000000e+00,1.76481536e-03,3.38966363e-04
23,5,8.00000000e-01,1.00000000e+03,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.35177490e+02,5.35177490e+02,2.40430813e+01,3.31856201e-02,7.45439222e-04,6.43117860e-310,4.45281530e+02,1.15263740e-01,1.74813856e-08,2.07474764e+02,2.11538088e+02,9.03707530e-04,8.86348688e-04,3.39042920e-12,4.10267770e-02,1.93945107e-04
23,5,8.00000000e-01,1.00000000e+03,2.67588717e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.35177490e+02,5.35177490e+02,2.40430813e+01,3.31856201e-02,6.57847824e-04,6.43117860e-310,3.92959583e+02,1.01719897e-01,1.54272691e-08,1.83095842e+02,1.86681713e+02,7.97519120e-04,7.82199995e-04,2.99204335e-12,3.62060047e-02,1.93945107e-04
23,5,8.00000000e-01,1.00000000e+03,5.35177435e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.35177490e+02,5.35177490e+02,2.40430813e+01,3.31856201e-02,4.52131797e-04,6.43117860e-310,2.70076933e+02,6.99110008e-02,1.06029976e-08,1.25839820e+02,1.28304351e+02,5.48126390e-04,5.37597718e-04,2.05639950e-12,2.48840011e-02,1.93945107e-04
23,5,8.00000000e-01,1.00000000e+03,8.02766152e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.35177490e+02,5.35177490e+02,2.40430813e+01,3.31856201e-02,2.42008726e-04,6.43117860e-310,1.44561773e+02,3.74206644e-02,5.67537598e-09,6.73572061e+01,6.86763744e+01,2.93390932e-04,2.87755340e-04,1.10071140e-12,1.33194468e-02,1.93945107e-04
